
SPORTIELLO,Atalanta,si
CONTI,Milan,no
MASIELLO,Genoa,no
CIGARINI,Crotone,no
DE ROON,Atalanta,no
GOMEZ,Atalanta,no
GRASSI,Parma,no
KURTIC,Parma,no
DA COSTA,Bologna,no
MIRANTE,Roma,si
SARR M.,Bologna,no
FERRARI A.,Sampdoria,no
MBAYE,Bologna,no
DIAWARA,Roma,si
GAGLIOLO,Parma,no
LETIZIA,Benevento,no
SPOLLI,Crotone,no
MARRONE,Crotone,no
LASAGNA,Udinese,no
MATOS,Udinese,no
MATTIELLO,Spezia,no
HETEMAJ,Benevento,no
RADOVANOVIC,Genoa,si
INGLESE,Parma,no
SKORUPSKI,Bologna,no
BARBA,Benevento,no
DERMAKU,Parma,no
HYSAJ,Napoli,no
LAURINI,Parma,no
MARIO RUI,Napoli,no
TONELLI,Sampdoria,no
KRUNIC,Milan,no
SAPONARA,Fiorentina,no
ZIELINSKI,Napoli,si
SEPE,Parma,no
TATARUSANU,Milan,no
BADELJ,Genoa,no
BORJA VALERO,Fiorentina,no
ILICIC,Atalanta,no
PETRICCIONE,Crotone,no
VECINO,Inter,no
BABACAR,Sassuolo,no
BERNARDESCHI,Juventus,no
REBIC,Milan,no
VERDE,Spezia,no
DONNARUMMA AN.,Milan,no
PERIN,Genoa,si
UJKANI,Torino,no
DE MAIO,Udinese,no
IZZO,Torino,no
KUCKA,Parma,no
LAXALT,Milan,no
LAZOVIC,Verona,no
PEROTTI,Roma,no
RINCON,Torino,no
GHIGLIONE,Genoa,no
PANDEV,Genoa,no
PAVOLETTI,Cagliari,no
HANDANOVIC,Inter,no
BIRAGHI,Fiorentina,no
D'AMBROSIO,Inter,no
DIMARCO,Verona,no
JUAN JESUS,Roma,no
RANOCCHIA,Inter,no
SANTON,Roma,no
BROZOVIC,Inter,no
MEDEL,Bologna,no
PALACIO,Bologna,no
BUFFON,Juventus,no
BONUCCI,Juventus,no
CACERES,Fiorentina,si
CHIELLINI,Juventus,no
RUGANI,Juventus,si
ASAMOAH,Inter,no
KHEDIRA,Juventus,no
PEREYRA,Udinese,no
STURARO,Genoa,no
CERRI,Cagliari,si
DYBALA,Juventus,si
LLORENTE,Napoli,no
MORATA,Juventus,no
ZAZA,Torino,no
MARCHETTI,Genoa,si
DE VRIJ,Inter,no
HOEDT,Lazio,no
PATRIC,Lazio,no
RADU,Lazio,no
CANDREVA,Sampdoria,no
CATALDI,Lazio,no
LULIC,Lazio,no
PAROLO,Lazio,no
KEITA B.,Sampdoria,no
DONNARUMMA G.,Milan,no
CALABRIA,Milan,no
DE SCIGLIO,Juventus,no
ZAPATA C.,Genoa,no
BONAVENTURA,Fiorentina,no
POLI,Bologna,no
VERDI,Torino,no
PETAGNA,Napoli,si
REINA,Lazio,no
GHOULAM,Napoli,no
KOULIBALY,Napoli,no
LUPERTO,Crotone,no
MAGGIO,Benevento,no
ALLAN,Napoli,no
DEZI,Parma,no
CALLEJON,Fiorentina,no
GABBIADINI,Sampdoria,si
HIGUAIN,Juventus,no
INSIGNE,Napoli,no
MERTENS,Napoli,no
COLOMBI,Parma,no
GOLDANIGA,Genoa,no
RISPOLI,Crotone,no
TERZI,Spezia,no
BENALI,Crotone,no
BRUGMAN,Parma,no
JAJALO,Udinese,no
VIOLA,Benevento,no
BELOTTI,Torino,no
LA GUMINA,Sampdoria,si
SZCZESNY,Juventus,no
CAPRADOSSI,Spezia,no
MANOLAS,Napoli,no
ROMAGNOLI,Milan,no
FLORENZI,Roma,no
NAINGGOLAN,Inter,si
DESTRO,Genoa,si
GERVINHO,Parma,no
IAGO FALQUE,Benevento,no
DE SILVESTRI,Bologna,no
REGINI,Sampdoria,no
CORREA,Lazio,no
BONAZZOLI,Torino,no
MURIEL,Atalanta,no
CONSIGLI,Sassuolo,no
PEGOLO,Sassuolo,no
ACERBI,Lazio,no
ANTEI,Benevento,no
DELL'ORCO,Spezia,no
GAZZOLA,Parma,no
PELUSO,Sassuolo,no
DUNCAN,Fiorentina,no
MAGNANELLI,Sassuolo,no
PELLEGRINI LO.,Roma,no
BERARDI,Sassuolo,no
POLITANO,Napoli,no
SANSONE,Bologna,no
PADELLI,Inter,no
BRUNO PERES,Roma,si
GLIK,Benevento,no
MAKSIMOVIC,Napoli,no
ZAPPACOSTA,Genoa,si
BASELLI,Torino,no
BENASSI,Verona,no
QUAGLIARELLA,Sampdoria,no
MERET,Napoli,no
SCUFFET,Udinese,no
DANILO LAR.,Bologna,no
FARAONI,Verona,no
BADU,Verona,no
VERRE,Sampdoria,no
ZAPATA D.,Atalanta,si
GOLLINI,Atalanta,si
RAFAEL,Spezia,no
IONITA,Benevento,no
